Industry,Country,Year,Attack_Type,Canonical_Attack_Vector,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source,PerRecord_Source,Source_Tag
Telecommunications,France,2021,Malware,unknown,pii_customer,894858,45000,34.5,68.64,19,2,4.22,100.0,68.64,IBM_Global×Multiplier,,LEAN
IT,UK,2018,Man-in-the-Middle,vulnerability exploit,pii_customer,574089,8900,12.3,75.81,32,3,4.22,100.0,75.81,IBM_Global×Multiplier,,LEAN
Healthcare,USA,2015,DDoS,unknown,pii_customer,232622,10700,19.2,62.99,33,3,8.44,100.0,62.99,IBM_Global×Multiplier,,LEAN
Retail,India,2015,Malware,unknown,pii_customer,917351,23000,8.9,89.95,43,4,3.798,100.0,89.95,IBM_Global×Multiplier,,LEAN
IT,Australia,2024,SQL Injection,vulnerability exploit,pii_customer,694333,8900,12.3,98.31,48,4,4.22,100.0,98.31,IBM_Global×Multiplier,,LEAN
Government,India,2017,Ransomware,unknown,pii_customer,968822,2300,8.9,38.87,25,2,4.22,100.0,38.87,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2015,DDoS,unknown,pii_customer,976838,8900,12.3,18.87,65,4,4.22,100.0,18.87,IBM_Global×Multiplier,,LEAN
Education,Australia,2019,DDoS,vulnerability exploit,pii_customer,22739,3400,2.1,54.63,44,4,3.376,100.0,54.63,IBM_Global×Multiplier,,LEAN
Retail,UK,2015,Man-in-the-Middle,unknown,pii_customer,657442,23000,8.9,7.92,29,3,3.798,100.0,7.92,IBM_Global×Multiplier,,LEAN
Education,Brazil,2018,Phishing,unknown,pii_customer,257681,3400,2.1,57.59,40,3,3.376,100.0,57.59,IBM_Global×Multiplier,,LEAN
Retail,Japan,2021,Man-in-the-Middle,unknown,pii_customer,536471,23000,8.9,9.97,72,4,3.798,100.0,9.97,IBM_Global×Multiplier,,LEAN
IT,France,2015,Ransomware,unknown,pii_customer,824619,8900,12.3,84.02,21,2,4.22,100.0,84.02,IBM_Global×Multiplier,,LEAN
Government,Russia,2016,SQL Injection,unknown,pii_customer,538804,2300,8.9,77.94,43,4,4.22,100.0,77.94,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2023,Phishing,unknown,pii_customer,463704,10700,19.2,49.32,14,1,8.44,100.0,49.32,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2021,Man-in-the-Middle,unknown,pii_customer,596341,45000,34.5,66.61,9,1,4.22,100.0,66.61,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2020,Malware,unknown,pii_customer,529588,23000,8.9,89.71,65,4,3.798,100.0,89.71,IBM_Global×Multiplier,,LEAN
Retail,Germany,2018,Man-in-the-Middle,unknown,pii_customer,22241,23000,8.9,43.28,5,1,3.798,100.0,43.28,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2020,Phishing,unknown,pii_customer,434936,8900,12.3,21.65,24,2,4.22,100.0,21.65,IBM_Global×Multiplier,,LEAN
IT,Japan,2019,Malware,unknown,pii_customer,52191,8900,12.3,33.61,72,4,4.22,100.0,33.61,IBM_Global×Multiplier,,LEAN
Banking,Australia,2015,Malware,unknown,pii_customer,242247,8900,12.3,8.24,29,3,4.22,100.0,8.24,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2020,Phishing,unknown,pii_customer,372427,8900,12.3,34.5,72,4,4.22,100.0,34.5,IBM_Global×Multiplier,,LEAN
Healthcare,Brazil,2021,Ransomware,unknown,pii_customer,796351,10700,19.2,67.25,21,2,8.44,100.0,67.25,IBM_Global×Multiplier,,LEAN
Telecommunications,Japan,2020,SQL Injection,unknown,pii_customer,505831,45000,34.5,38.29,40,3,4.22,100.0,38.29,IBM_Global×Multiplier,,LEAN
Government,Germany,2020,Malware,unknown,pii_customer,743344,2300,8.9,32.59,4,1,4.22,100.0,32.59,IBM_Global×Multiplier,,LEAN
Healthcare,China,2017,Phishing,vulnerability exploit,pii_customer,651809,10700,19.2,70.4,17,1,8.44,100.0,70.4,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2023,SQL Injection,unknown,pii_customer,839281,45000,34.5,31.54,25,2,4.22,100.0,31.54,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2018,SQL Injection,vulnerability exploit,pii_customer,99876,23000,8.9,84.79,56,4,3.798,100.0,84.79,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2016,SQL Injection,unknown,pii_customer,836521,45000,34.5,98.39,19,2,4.22,100.0,98.39,IBM_Global×Multiplier,,LEAN
Retail,Japan,2022,SQL Injection,unknown,pii_customer,392831,23000,8.9,43.73,71,4,3.798,100.0,43.73,IBM_Global×Multiplier,,LEAN
Government,China,2015,Ransomware,unknown,pii_customer,99312,2300,8.9,86.88,60,4,4.22,100.0,86.88,IBM_Global×Multiplier,,LEAN
Education,Japan,2017,Malware,unknown,pii_customer,945147,3400,2.1,26.24,20,2,3.376,100.0,26.24,IBM_Global×Multiplier,,LEAN
IT,USA,2018,DDoS,unknown,pii_customer,943039,8900,12.3,26.29,28,3,4.22,100.0,26.29,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2016,Malware,vulnerability exploit,pii_customer,670642,23000,8.9,76.81,10,1,3.798,100.0,76.81,IBM_Global×Multiplier,,LEAN
Banking,USA,2016,Malware,unknown,pii_customer,194553,8900,12.3,36.2,48,4,4.22,100.0,36.2,IBM_Global×Multiplier,,LEAN
Education,China,2022,Ransomware,unknown,pii_customer,257224,3400,2.1,49.56,46,4,3.376,100.0,49.56,IBM_Global×Multiplier,,LEAN
Banking,India,2019,DDoS,unknown,pii_customer,891815,8900,12.3,58.96,19,2,4.22,100.0,58.96,IBM_Global×Multiplier,,LEAN
Banking,China,2020,Ransomware,vulnerability exploit,pii_customer,168617,8900,12.3,98.05,16,1,4.22,100.0,98.05,IBM_Global×Multiplier,,LEAN
Government,UK,2016,Ransomware,unknown,pii_customer,701152,2300,8.9,83.67,53,4,4.22,100.0,83.67,IBM_Global×Multiplier,,LEAN
Banking,USA,2023,SQL Injection,unknown,pii_customer,749609,8900,12.3,30.66,28,3,4.22,100.0,30.66,IBM_Global×Multiplier,,LEAN
Government,UK,2024,Man-in-the-Middle,vulnerability exploit,pii_customer,658712,2300,8.9,86.74,25,2,4.22,100.0,86.74,IBM_Global×Multiplier,,LEAN
Retail,China,2022,DDoS,unknown,pii_customer,642501,23000,8.9,77.74,19,2,3.798,100.0,77.74,IBM_Global×Multiplier,,LEAN
Banking,Australia,2017,Malware,unknown,pii_customer,817255,8900,12.3,92.65,62,4,4.22,100.0,92.65,IBM_Global×Multiplier,,LEAN
Government,China,2021,Ransomware,unknown,pii_customer,92237,2300,8.9,5.96,47,4,4.22,100.0,5.96,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2023,Man-in-the-Middle,vulnerability exploit,pii_customer,156195,45000,34.5,66.91,58,4,4.22,100.0,66.91,IBM_Global×Multiplier,,LEAN
IT,India,2016,Man-in-the-Middle,unknown,pii_customer,618125,8900,12.3,23.38,16,1,4.22,100.0,23.38,IBM_Global×Multiplier,,LEAN
Banking,Australia,2021,Man-in-the-Middle,unknown,pii_customer,828293,8900,12.3,82.04,64,4,4.22,100.0,82.04,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2017,Malware,unknown,pii_customer,436100,45000,34.5,6.09,12,1,4.22,100.0,6.09,IBM_Global×Multiplier,,LEAN
Retail,USA,2020,DDoS,unknown,pii_customer,787194,23000,8.9,14.12,51,4,3.798,100.0,14.12,IBM_Global×Multiplier,,LEAN
Retail,France,2021,Phishing,unknown,pii_customer,380086,23000,8.9,31.52,65,4,3.798,100.0,31.52,IBM_Global×Multiplier,,LEAN
Healthcare,India,2024,Malware,unknown,pii_customer,330581,10700,19.2,13.74,54,4,8.44,100.0,13.74,IBM_Global×Multiplier,,LEAN
IT,Australia,2017,SQL Injection,unknown,pii_customer,672966,8900,12.3,99.99,13,1,4.22,100.0,99.99,IBM_Global×Multiplier,,LEAN
Telecommunications,India,2022,Malware,vulnerability exploit,pii_customer,772330,45000,34.5,19.56,20,2,4.22,100.0,19.56,IBM_Global×Multiplier,,LEAN
Telecommunications,Japan,2018,Man-in-the-Middle,vulnerability exploit,pii_customer,255844,45000,34.5,81.61,8,1,4.22,100.0,81.61,IBM_Global×Multiplier,,LEAN
Government,Germany,2017,Ransomware,unknown,pii_customer,107009,2300,8.9,80.7,67,4,4.22,100.0,80.7,IBM_Global×Multiplier,,LEAN
Retail,Japan,2020,SQL Injection,vulnerability exploit,pii_customer,872095,23000,8.9,10.41,44,4,3.798,100.0,10.41,IBM_Global×Multiplier,,LEAN
Banking,France,2015,DDoS,unknown,pii_customer,50427,8900,12.3,85.36,5,1,4.22,100.0,85.36,IBM_Global×Multiplier,,LEAN
Retail,USA,2017,Phishing,unknown,pii_customer,599197,23000,8.9,15.24,8,1,3.798,100.0,15.24,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2022,Malware,unknown,pii_customer,459643,45000,34.5,40.08,10,1,4.22,100.0,40.08,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2021,DDoS,unknown,pii_customer,950257,45000,34.5,10.2,61,4,4.22,100.0,10.2,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2022,Phishing,unknown,pii_customer,496317,10700,19.2,72.53,62,4,8.44,100.0,72.53,IBM_Global×Multiplier,,LEAN
Healthcare,Brazil,2017,Man-in-the-Middle,unknown,pii_customer,596078,10700,19.2,96.36,10,1,8.44,100.0,96.36,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2019,Ransomware,unknown,pii_customer,701522,8900,12.3,88.63,10,1,4.22,100.0,88.63,IBM_Global×Multiplier,,LEAN
Healthcare,India,2015,Man-in-the-Middle,unknown,pii_customer,357124,10700,19.2,37.15,31,3,8.44,100.0,37.15,IBM_Global×Multiplier,,LEAN
Government,Germany,2022,SQL Injection,unknown,pii_customer,112688,2300,8.9,47.92,15,1,4.22,100.0,47.92,IBM_Global×Multiplier,,LEAN
Retail,India,2018,Phishing,unknown,pii_customer,743107,23000,8.9,14.46,49,4,3.798,100.0,14.46,IBM_Global×Multiplier,,LEAN
Banking,India,2022,Man-in-the-Middle,vulnerability exploit,pii_customer,947465,8900,12.3,32.47,69,4,4.22,100.0,32.47,IBM_Global×Multiplier,,LEAN
Government,Japan,2019,Ransomware,unknown,pii_customer,358572,2300,8.9,81.97,48,4,4.22,100.0,81.97,IBM_Global×Multiplier,,LEAN
IT,India,2024,Malware,vulnerability exploit,pii_customer,430701,8900,12.3,92.08,54,4,4.22,100.0,92.08,IBM_Global×Multiplier,,LEAN
Banking,Russia,2021,DDoS,unknown,pii_customer,281900,8900,12.3,94.48,1,1,4.22,100.0,94.48,IBM_Global×Multiplier,,LEAN
IT,Australia,2021,Malware,unknown,pii_customer,391257,8900,12.3,84.74,66,4,4.22,100.0,84.74,IBM_Global×Multiplier,,LEAN
Banking,China,2019,Man-in-the-Middle,unknown,pii_customer,277875,8900,12.3,81.8,43,4,4.22,100.0,81.8,IBM_Global×Multiplier,,LEAN
IT,Japan,2015,DDoS,unknown,pii_customer,207244,8900,12.3,33.27,38,3,4.22,100.0,33.27,IBM_Global×Multiplier,,LEAN
Healthcare,India,2018,Malware,unknown,pii_customer,294133,10700,19.2,66.96,20,2,8.44,100.0,66.96,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2023,Ransomware,unknown,pii_customer,66852,45000,34.5,71.4,58,4,4.22,100.0,71.4,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2024,Ransomware,unknown,pii_customer,54722,45000,34.5,67.47,13,1,4.22,100.0,67.47,IBM_Global×Multiplier,,LEAN
Education,Australia,2022,Phishing,unknown,pii_customer,178951,3400,2.1,17.32,26,3,3.376,100.0,17.32,IBM_Global×Multiplier,,LEAN
Healthcare,USA,2020,Ransomware,unknown,pii_customer,682791,10700,19.2,17.24,44,4,8.44,100.0,17.24,IBM_Global×Multiplier,,LEAN
Education,Russia,2016,SQL Injection,unknown,pii_customer,888205,3400,2.1,17.05,38,3,3.376,100.0,17.05,IBM_Global×Multiplier,,LEAN
IT,France,2022,Phishing,unknown,pii_customer,794901,8900,12.3,52.19,26,3,4.22,100.0,52.19,IBM_Global×Multiplier,,LEAN
Government,France,2018,DDoS,unknown,pii_customer,978683,2300,8.9,27.44,35,3,4.22,100.0,27.44,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2015,Phishing,unknown,pii_customer,639279,45000,34.5,73.77,44,4,4.22,100.0,73.77,IBM_Global×Multiplier,,LEAN
Retail,UK,2020,Malware,unknown,pii_customer,675338,23000,8.9,10.94,54,4,3.798,100.0,10.94,IBM_Global×Multiplier,,LEAN
Government,Australia,2021,Man-in-the-Middle,vulnerability exploit,pii_customer,147589,2300,8.9,42.24,31,3,4.22,100.0,42.24,IBM_Global×Multiplier,,LEAN
Government,Australia,2017,DDoS,unknown,pii_customer,646824,2300,8.9,82.39,2,1,4.22,100.0,82.39,IBM_Global×Multiplier,,LEAN
Government,China,2016,Phishing,unknown,pii_customer,465317,2300,8.9,37.62,20,2,4.22,100.0,37.62,IBM_Global×Multiplier,,LEAN
IT,USA,2023,Malware,vulnerability exploit,pii_customer,233379,8900,12.3,21.53,50,4,4.22,100.0,21.53,IBM_Global×Multiplier,,LEAN
IT,China,2023,Malware,unknown,pii_customer,684108,8900,12.3,43.51,24,2,4.22,100.0,43.51,IBM_Global×Multiplier,,LEAN
Healthcare,Russia,2020,DDoS,unknown,pii_customer,130510,10700,19.2,44.32,66,4,8.44,100.0,44.32,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2016,Man-in-the-Middle,unknown,pii_customer,489853,8900,12.3,43.45,28,3,4.22,100.0,43.45,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2022,Malware,vulnerability exploit,pii_customer,25905,10700,19.2,47.92,40,3,8.44,100.0,47.92,IBM_Global×Multiplier,,LEAN
IT,Japan,2023,Malware,unknown,pii_customer,795367,8900,12.3,73.74,55,4,4.22,100.0,73.74,IBM_Global×Multiplier,,LEAN
Retail,Australia,2023,Man-in-the-Middle,unknown,pii_customer,349335,23000,8.9,93.25,27,3,3.798,100.0,93.25,IBM_Global×Multiplier,,LEAN
Government,USA,2015,Ransomware,unknown,pii_customer,366147,2300,8.9,13.92,38,3,4.22,100.0,13.92,IBM_Global×Multiplier,,LEAN
Government,India,2018,Phishing,vulnerability exploit,pii_customer,25094,2300,8.9,41.1,42,4,4.22,100.0,41.1,IBM_Global×Multiplier,,LEAN
Retail,Russia,2024,Phishing,vulnerability exploit,pii_customer,988889,23000,8.9,44.08,31,3,3.798,100.0,44.08,IBM_Global×Multiplier,,LEAN
IT,Japan,2022,Man-in-the-Middle,vulnerability exploit,pii_customer,216303,8900,12.3,65.19,49,4,4.22,100.0,65.19,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2023,Ransomware,unknown,pii_customer,388211,10700,19.2,21.54,22,2,8.44,100.0,21.54,IBM_Global×Multiplier,,LEAN
Education,USA,2022,Man-in-the-Middle,unknown,pii_customer,30235,3400,2.1,83.61,47,4,3.376,100.0,83.61,IBM_Global×Multiplier,,LEAN
Banking,USA,2023,Malware,unknown,pii_customer,109083,8900,12.3,13.99,49,4,4.22,100.0,13.99,IBM_Global×Multiplier,,LEAN
Healthcare,Germany,2017,Malware,unknown,pii_customer,397361,10700,19.2,49.09,57,4,8.44,100.0,49.09,IBM_Global×Multiplier,,LEAN
Retail,UK,2016,Ransomware,unknown,pii_customer,329026,23000,8.9,32.16,31,3,3.798,100.0,32.16,IBM_Global×Multiplier,,LEAN
IT,Australia,2017,Man-in-the-Middle,unknown,pii_customer,889521,8900,12.3,45.5,51,4,4.22,100.0,45.5,IBM_Global×Multiplier,,LEAN
Healthcare,USA,2018,SQL Injection,unknown,pii_customer,849755,10700,19.2,73.16,46,4,8.44,100.0,73.16,IBM_Global×Multiplier,,LEAN
Education,China,2021,Phishing,unknown,pii_customer,631101,3400,2.1,70.2,36,3,3.376,100.0,70.2,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2016,DDoS,unknown,pii_customer,625954,10700,19.2,10.62,71,4,8.44,100.0,10.62,IBM_Global×Multiplier,,LEAN
IT,Japan,2023,Man-in-the-Middle,unknown,pii_customer,220769,8900,12.3,26.65,71,4,4.22,100.0,26.65,IBM_Global×Multiplier,,LEAN
Healthcare,China,2018,SQL Injection,vulnerability exploit,pii_customer,527443,10700,19.2,52.01,24,2,8.44,100.0,52.01,IBM_Global×Multiplier,,LEAN
Government,Germany,2020,DDoS,unknown,pii_customer,846169,2300,8.9,32.71,59,4,4.22,100.0,32.71,IBM_Global×Multiplier,,LEAN
Education,China,2017,Malware,unknown,pii_customer,783239,3400,2.1,47.46,41,3,3.376,100.0,47.46,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2022,Malware,unknown,pii_customer,104772,45000,34.5,11.39,43,4,4.22,100.0,11.39,IBM_Global×Multiplier,,LEAN
Telecommunications,Germany,2015,DDoS,unknown,pii_customer,33098,45000,34.5,31.68,8,1,4.22,100.0,31.68,IBM_Global×Multiplier,,LEAN
Healthcare,UK,2024,Man-in-the-Middle,unknown,pii_customer,512847,10700,19.2,65.78,72,4,8.44,100.0,65.78,IBM_Global×Multiplier,,LEAN
Banking,Australia,2018,SQL Injection,unknown,pii_customer,840106,8900,12.3,71.01,44,4,4.22,100.0,71.01,IBM_Global×Multiplier,,LEAN
Healthcare,Brazil,2024,SQL Injection,unknown,pii_customer,269458,10700,19.2,69.57,15,1,8.44,100.0,69.57,IBM_Global×Multiplier,,LEAN
Healthcare,Germany,2021,Ransomware,unknown,pii_customer,242893,10700,19.2,66.84,50,4,8.44,100.0,66.84,IBM_Global×Multiplier,,LEAN
Education,Russia,2018,Phishing,unknown,pii_customer,605947,3400,2.1,5.25,13,1,3.376,100.0,5.25,IBM_Global×Multiplier,,LEAN
Education,Japan,2018,SQL Injection,unknown,pii_customer,468399,3400,2.1,60.57,56,4,3.376,100.0,60.57,IBM_Global×Multiplier,,LEAN
IT,India,2015,Ransomware,unknown,pii_customer,503774,8900,12.3,61.68,37,3,4.22,100.0,61.68,IBM_Global×Multiplier,,LEAN
Retail,France,2021,Phishing,unknown,pii_customer,754278,23000,8.9,45.74,46,4,3.798,100.0,45.74,IBM_Global×Multiplier,,LEAN
IT,Japan,2019,SQL Injection,unknown,pii_customer,126120,8900,12.3,89.81,39,3,4.22,100.0,89.81,IBM_Global×Multiplier,,LEAN
IT,UK,2018,Malware,unknown,pii_customer,210024,8900,12.3,73.27,20,2,4.22,100.0,73.27,IBM_Global×Multiplier,,LEAN
Banking,France,2022,DDoS,vulnerability exploit,pii_customer,970775,8900,12.3,51.33,21,2,4.22,100.0,51.33,IBM_Global×Multiplier,,LEAN
Education,France,2017,Ransomware,unknown,pii_customer,832471,3400,2.1,19.84,54,4,3.376,100.0,19.84,IBM_Global×Multiplier,,LEAN
IT,India,2024,Phishing,unknown,pii_customer,165316,8900,12.3,97.25,61,4,4.22,100.0,97.25,IBM_Global×Multiplier,,LEAN
Retail,Australia,2016,DDoS,unknown,pii_customer,990886,23000,8.9,2.96,59,4,3.798,100.0,2.96,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2021,Malware,unknown,pii_customer,370146,45000,34.5,82.28,55,4,4.22,100.0,82.28,IBM_Global×Multiplier,,LEAN
Retail,China,2021,Man-in-the-Middle,unknown,pii_customer,284823,23000,8.9,49.59,50,4,3.798,100.0,49.59,IBM_Global×Multiplier,,LEAN
Healthcare,UK,2016,Malware,unknown,pii_customer,742857,10700,19.2,65.14,49,4,8.44,100.0,65.14,IBM_Global×Multiplier,,LEAN
Healthcare,Brazil,2024,DDoS,vulnerability exploit,pii_customer,484101,10700,19.2,70.0,9,1,8.44,100.0,70.0,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2015,Ransomware,unknown,pii_customer,368441,45000,34.5,22.58,71,4,4.22,100.0,22.58,IBM_Global×Multiplier,,LEAN
Banking,Russia,2019,Malware,unknown,pii_customer,945465,8900,12.3,55.42,5,1,4.22,100.0,55.42,IBM_Global×Multiplier,,LEAN
Healthcare,USA,2016,DDoS,unknown,pii_customer,551900,10700,19.2,27.08,17,1,8.44,100.0,27.08,IBM_Global×Multiplier,,LEAN
Banking,UK,2021,Malware,unknown,pii_customer,731722,8900,12.3,73.02,28,3,4.22,100.0,73.02,IBM_Global×Multiplier,,LEAN
Banking,Germany,2018,Phishing,vulnerability exploit,pii_customer,436597,8900,12.3,88.73,33,3,4.22,100.0,88.73,IBM_Global×Multiplier,,LEAN
Education,France,2020,DDoS,unknown,pii_customer,728830,3400,2.1,16.35,45,4,3.376,100.0,16.35,IBM_Global×Multiplier,,LEAN
IT,USA,2022,Ransomware,unknown,pii_customer,826018,8900,12.3,85.61,24,2,4.22,100.0,85.61,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2020,Ransomware,vulnerability exploit,pii_customer,791323,45000,34.5,76.61,40,3,4.22,100.0,76.61,IBM_Global×Multiplier,,LEAN
Banking,USA,2015,SQL Injection,vulnerability exploit,pii_customer,117454,8900,12.3,42.77,19,2,4.22,100.0,42.77,IBM_Global×Multiplier,,LEAN
Retail,Japan,2023,Ransomware,unknown,pii_customer,986882,23000,8.9,95.3,45,4,3.798,100.0,95.3,IBM_Global×Multiplier,,LEAN
IT,France,2016,Phishing,unknown,pii_customer,770227,8900,12.3,78.12,20,2,4.22,100.0,78.12,IBM_Global×Multiplier,,LEAN
Government,China,2024,SQL Injection,unknown,pii_customer,997411,2300,8.9,21.33,25,2,4.22,100.0,21.33,IBM_Global×Multiplier,,LEAN
Education,Japan,2020,Malware,vulnerability exploit,pii_customer,640603,3400,2.1,66.93,23,2,3.376,100.0,66.93,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2024,Phishing,unknown,pii_customer,499671,45000,34.5,81.54,4,1,4.22,100.0,81.54,IBM_Global×Multiplier,,LEAN
Retail,India,2020,Phishing,unknown,pii_customer,805905,23000,8.9,12.64,54,4,3.798,100.0,12.64,IBM_Global×Multiplier,,LEAN
Retail,France,2017,Phishing,vulnerability exploit,pii_customer,377252,23000,8.9,43.2,8,1,3.798,100.0,43.2,IBM_Global×Multiplier,,LEAN
Retail,USA,2018,Ransomware,unknown,pii_customer,653168,23000,8.9,20.58,3,1,3.798,100.0,20.58,IBM_Global×Multiplier,,LEAN
IT,Brazil,2017,Phishing,unknown,pii_customer,955790,8900,12.3,26.62,44,4,4.22,100.0,26.62,IBM_Global×Multiplier,,LEAN
Telecommunications,USA,2018,Phishing,unknown,pii_customer,734448,45000,34.5,15.56,37,3,4.22,100.0,15.56,IBM_Global×Multiplier,,LEAN
Retail,China,2021,Ransomware,unknown,pii_customer,425647,23000,8.9,12.97,4,1,3.798,100.0,12.97,IBM_Global×Multiplier,,LEAN
Banking,France,2019,SQL Injection,vulnerability exploit,pii_customer,278315,8900,12.3,98.04,3,1,4.22,100.0,98.04,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2020,Man-in-the-Middle,unknown,pii_customer,294447,45000,34.5,63.35,54,4,4.22,100.0,63.35,IBM_Global×Multiplier,,LEAN
Education,Brazil,2020,DDoS,unknown,pii_customer,384988,3400,2.1,26.57,19,2,3.376,100.0,26.57,IBM_Global×Multiplier,,LEAN
Education,Japan,2020,Man-in-the-Middle,vulnerability exploit,pii_customer,141411,3400,2.1,29.58,58,4,3.376,100.0,29.58,IBM_Global×Multiplier,,LEAN
Healthcare,France,2023,Phishing,unknown,pii_customer,581712,10700,19.2,72.54,12,1,8.44,100.0,72.54,IBM_Global×Multiplier,,LEAN
Education,UK,2020,Ransomware,unknown,pii_customer,100749,3400,2.1,35.16,62,4,3.376,100.0,35.16,IBM_Global×Multiplier,,LEAN
Education,Russia,2019,Malware,vulnerability exploit,pii_customer,217880,3400,2.1,56.94,48,4,3.376,100.0,56.94,IBM_Global×Multiplier,,LEAN
Telecommunications,France,2023,Man-in-the-Middle,unknown,pii_customer,357542,45000,34.5,99.71,21,2,4.22,100.0,99.71,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2021,Malware,unknown,pii_customer,347426,45000,34.5,77.18,36,3,4.22,100.0,77.18,IBM_Global×Multiplier,,LEAN
Education,France,2018,Man-in-the-Middle,vulnerability exploit,pii_customer,829140,3400,2.1,36.92,2,1,3.376,100.0,36.92,IBM_Global×Multiplier,,LEAN
Healthcare,France,2017,SQL Injection,unknown,pii_customer,683189,10700,19.2,42.8,19,2,8.44,100.0,42.8,IBM_Global×Multiplier,,LEAN
Banking,India,2019,Ransomware,vulnerability exploit,pii_customer,453441,8900,12.3,89.41,29,3,4.22,100.0,89.41,IBM_Global×Multiplier,,LEAN
IT,Australia,2017,Malware,unknown,pii_customer,673439,8900,12.3,33.34,13,1,4.22,100.0,33.34,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2016,SQL Injection,unknown,pii_customer,832297,45000,34.5,13.94,69,4,4.22,100.0,13.94,IBM_Global×Multiplier,,LEAN
IT,India,2018,Phishing,unknown,pii_customer,400964,8900,12.3,13.05,19,2,4.22,100.0,13.05,IBM_Global×Multiplier,,LEAN
Telecommunications,France,2019,DDoS,unknown,pii_customer,192293,45000,34.5,52.94,57,4,4.22,100.0,52.94,IBM_Global×Multiplier,,LEAN
Banking,Russia,2019,Man-in-the-Middle,vulnerability exploit,pii_customer,565292,8900,12.3,26.02,27,3,4.22,100.0,26.02,IBM_Global×Multiplier,,LEAN
Education,Brazil,2016,Phishing,unknown,pii_customer,774750,3400,2.1,9.23,70,4,3.376,100.0,9.23,IBM_Global×Multiplier,,LEAN
IT,France,2022,Phishing,unknown,pii_customer,666996,8900,12.3,78.2,59,4,4.22,100.0,78.2,IBM_Global×Multiplier,,LEAN
Healthcare,Germany,2016,Malware,unknown,pii_customer,21382,10700,19.2,94.12,21,2,8.44,100.0,94.12,IBM_Global×Multiplier,,LEAN
Telecommunications,Germany,2021,Phishing,vulnerability exploit,pii_customer,463525,45000,34.5,55.14,59,4,4.22,100.0,55.14,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2022,Ransomware,unknown,pii_customer,905673,45000,34.5,16.98,54,4,4.22,100.0,16.98,IBM_Global×Multiplier,,LEAN
Retail,India,2024,Man-in-the-Middle,vulnerability exploit,pii_customer,619881,23000,8.9,30.59,42,4,3.798,100.0,30.59,IBM_Global×Multiplier,,LEAN
Banking,France,2015,Malware,unknown,pii_customer,987350,8900,12.3,20.27,4,1,4.22,100.0,20.27,IBM_Global×Multiplier,,LEAN
Education,USA,2019,Phishing,unknown,pii_customer,849084,3400,2.1,97.32,62,4,3.376,100.0,97.32,IBM_Global×Multiplier,,LEAN
Education,UK,2017,Man-in-the-Middle,unknown,pii_customer,799627,3400,2.1,13.06,36,3,3.376,100.0,13.06,IBM_Global×Multiplier,,LEAN
Education,France,2023,Man-in-the-Middle,vulnerability exploit,pii_customer,307155,3400,2.1,87.39,28,3,3.376,100.0,87.39,IBM_Global×Multiplier,,LEAN
Retail,Japan,2024,Ransomware,unknown,pii_customer,989106,23000,8.9,88.36,3,1,3.798,100.0,88.36,IBM_Global×Multiplier,,LEAN
Retail,India,2020,Man-in-the-Middle,unknown,pii_customer,129144,23000,8.9,84.77,25,2,3.798,100.0,84.77,IBM_Global×Multiplier,,LEAN
Government,UK,2015,Malware,unknown,pii_customer,767562,2300,8.9,57.81,61,4,4.22,100.0,57.81,IBM_Global×Multiplier,,LEAN
