Incident_ID,Date_Reported,Company_Name,Industry,Country,Attack_Type,Records_Compromised,Attack_Vector,Data_Type,Ransom_Amount_USD,Recovery_Time_Days,Financial_Impact_Million_USD,CISO_Present,Security_Budget_Million_USD,Employee_Count,Previous_Incidents,Patch_Status,MFA_Enabled,Security_Training_Hours,Incident_Severity,Attribution,Response_Time_Hours,Regulatory_Fine_Million_USD,Stock_Impact_Percent,Customer_Churn_Percent,Reputation_Score_Change,Year,Per_Record_Cost_USD,Baseline_Industry_Cost_Million_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source_x,PerRecord_Source_x,Source_Tag,Baseline_Source_y,Baseline_Source,PerRecord_Source_y,PerRecord_Source
,,,Education,Japan,DDoS,165722,,,,,7.84,,,,,,,,23.0,,,,,,,2017,100.31243975865726,3.8,7.84,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,India,SQL Injection,604113,,,,,99.72,,,,,,,,7.0,,,,,,,2020,100.31243975865726,54.44,99.72,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,Man-in-the-Middle,450466,,,,,39.48,,,,,,,,52.0,,,,,,,2019,100.31243975865726,7.42,39.48,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Australia,Phishing,507976,,,,,1.13,,,,,,,,70.0,,,,,,,2019,100.31243975865726,50.75,1.13,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,India,DDoS,180980,,,,,43.45,,,,,,,,15.0,,,,,,,2018,100.31243975865726,50.75,43.45,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,Ransomware,745273,,,,,37.36,,,,,,,,67.0,,,,,,,2020,100.31243975865726,7.42,37.36,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Germany,SQL Injection,536737,,,,,94.14,,,,,,,,44.0,,,,,,,2023,100.31243975865726,51.230000000000004,94.14,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Germany,SQL Injection,202102,,,,,65.24,,,,,,,,54.0,,,,,,,2020,100.31243975865726,50.75,65.24,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Brazil,DDoS,134998,,,,,80.79,,,,,,,,42.0,,,,,,,2021,100.31243975865726,3.8,80.79,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,India,Ransomware,41635,,,,,81.81,,,,,,,,37.0,,,,,,,2015,100.31243975865726,50.75,81.81,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Japan,Phishing,604908,,,,,35.54,,,,,,,,25.0,,,,,,,2022,100.31243975865726,51.230000000000004,35.54,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,France,Man-in-the-Middle,688016,,,,,88.42,,,,,,,,26.0,,,,,,,2020,100.31243975865726,53.3,88.42,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Brazil,Ransomware,679131,,,,,56.59,,,,,,,,55.0,,,,,,,2020,100.31243975865726,53.3,56.59,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,India,DDoS,585934,,,,,39.28,,,,,,,,13.0,,,,,,,2015,100.31243975865726,3.54,39.28,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,USA,Man-in-the-Middle,762605,,,,,88.81,,,,,,,,53.0,,,,,,,2023,100.31243975865726,53.3,88.81,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,UK,Malware,984973,,,,,58.9,,,,,,,,30.0,,,,,,,2021,100.31243975865726,7.42,58.9,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Russia,Phishing,889970,,,,,9.52,,,,,,,,20.0,,,,,,,2020,100.31243975865726,3.8,9.52,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,USA,Phishing,376443,,,,,39.92,,,,,,,,20.0,,,,,,,2020,100.31243975865726,7.42,39.92,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,UK,Phishing,699386,,,,,28.54,,,,,,,,20.0,,,,,,,2023,100.31243975865726,3.54,28.54,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Russia,Man-in-the-Middle,158758,,,,,74.11,,,,,,,,72.0,,,,,,,2020,100.31243975865726,3.54,74.11,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,China,Man-in-the-Middle,812101,,,,,85.26,,,,,,,,52.0,,,,,,,2021,100.31243975865726,50.75,85.26,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,Phishing,402744,,,,,43.72,,,,,,,,65.0,,,,,,,2020,100.31243975865726,51.230000000000004,43.72,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Japan,Malware,182338,,,,,77.01,,,,,,,,72.0,,,,,,,2015,100.31243975865726,7.42,77.01,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Germany,Man-in-the-Middle,587213,,,,,88.03,,,,,,,,32.0,,,,,,,2017,100.31243975865726,50.75,88.03,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,France,DDoS,419571,,,,,86.65,,,,,,,,72.0,,,,,,,2024,100.31243975865726,54.44,86.65,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Germany,SQL Injection,772541,,,,,33.79,,,,,,,,46.0,,,,,,,2017,100.31243975865726,53.3,33.79,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Germany,SQL Injection,759384,,,,,76.04,,,,,,,,22.0,,,,,,,2020,100.31243975865726,3.54,76.04,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,China,Ransomware,887037,,,,,57.59,,,,,,,,39.0,,,,,,,2015,100.31243975865726,54.44,57.59,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,China,Ransomware,788555,,,,,37.22,,,,,,,,43.0,,,,,,,2016,100.31243975865726,53.3,37.22,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,India,Man-in-the-Middle,438137,,,,,57.89,,,,,,,,18.0,,,,,,,2020,100.31243975865726,51.230000000000004,57.89,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Australia,Ransomware,414907,,,,,3.37,,,,,,,,42.0,,,,,,,2024,100.31243975865726,54.44,3.37,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Ransomware,576302,,,,,88.2,,,,,,,,2.0,,,,,,,2021,100.31243975865726,51.230000000000004,88.2,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,USA,DDoS,156275,,,,,96.08,,,,,,,,24.0,,,,,,,2020,100.31243975865726,53.3,96.08,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Japan,DDoS,234154,,,,,84.36,,,,,,,,42.0,,,,,,,2024,100.31243975865726,54.44,84.36,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Brazil,Phishing,176386,,,,,92.58,,,,,,,,63.0,,,,,,,2022,100.31243975865726,53.3,92.58,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Japan,Malware,775042,,,,,27.92,,,,,,,,12.0,,,,,,,2015,100.31243975865726,7.42,27.92,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Germany,Phishing,992092,,,,,46.28,,,,,,,,3.0,,,,,,,2016,100.31243975865726,51.230000000000004,46.28,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,France,Ransomware,883536,,,,,25.55,,,,,,,,66.0,,,,,,,2016,100.31243975865726,3.8,25.55,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,France,Phishing,276541,,,,,15.14,,,,,,,,16.0,,,,,,,2017,100.31243975865726,50.75,15.14,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,India,Phishing,513620,,,,,50.64,,,,,,,,65.0,,,,,,,2024,100.31243975865726,51.230000000000004,50.64,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Germany,Phishing,397919,,,,,31.73,,,,,,,,22.0,,,,,,,2022,100.31243975865726,50.75,31.73,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Russia,Phishing,32743,,,,,73.93,,,,,,,,18.0,,,,,,,2021,100.31243975865726,51.230000000000004,73.93,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Germany,Phishing,318648,,,,,40.62,,,,,,,,1.0,,,,,,,2020,100.31243975865726,54.44,40.62,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,USA,Ransomware,353297,,,,,14.5,,,,,,,,58.0,,,,,,,2022,100.31243975865726,3.8,14.5,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Russia,Malware,484009,,,,,20.85,,,,,,,,41.0,,,,,,,2017,100.31243975865726,53.3,20.85,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Russia,Malware,872411,,,,,49.51,,,,,,,,5.0,,,,,,,2024,100.31243975865726,54.44,49.51,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Germany,Man-in-the-Middle,876348,,,,,26.14,,,,,,,,1.0,,,,,,,2023,100.31243975865726,3.8,26.14,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,China,SQL Injection,11310,,,,,13.76,,,,,,,,71.0,,,,,,,2021,100.31243975865726,54.44,13.76,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,UK,SQL Injection,597358,,,,,72.21,,,,,,,,30.0,,,,,,,2018,100.31243975865726,3.54,72.21,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,India,SQL Injection,180456,,,,,91.91,,,,,,,,8.0,,,,,,,2022,100.31243975865726,7.42,91.91,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Russia,DDoS,368255,,,,,79.06,,,,,,,,17.0,,,,,,,2021,100.31243975865726,3.54,79.06,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,India,Malware,268414,,,,,7.17,,,,,,,,9.0,,,,,,,2022,100.31243975865726,3.8,7.17,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,China,SQL Injection,891504,,,,,79.28,,,,,,,,63.0,,,,,,,2019,100.31243975865726,7.42,79.28,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Japan,Phishing,3395,,,,,48.25,,,,,,,,58.0,,,,,,,2023,100.31243975865726,7.42,48.25,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,China,Ransomware,164890,,,,,45.88,,,,,,,,20.0,,,,,,,2023,100.31243975865726,3.8,45.88,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,India,SQL Injection,895388,,,,,89.8,,,,,,,,54.0,,,,,,,2020,100.31243975865726,50.75,89.8,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,India,SQL Injection,436517,,,,,17.47,,,,,,,,61.0,,,,,,,2020,100.31243975865726,51.230000000000004,17.47,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,Phishing,677164,,,,,70.85,,,,,,,,7.0,,,,,,,2018,100.31243975865726,53.3,70.85,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Russia,Man-in-the-Middle,414192,,,,,93.13,,,,,,,,34.0,,,,,,,2024,100.31243975865726,50.75,93.13,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Russia,Man-in-the-Middle,80069,,,,,39.73,,,,,,,,8.0,,,,,,,2021,100.31243975865726,3.54,39.73,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,UK,Phishing,604185,,,,,1.28,,,,,,,,57.0,,,,,,,2016,100.31243975865726,53.3,1.28,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Brazil,SQL Injection,807733,,,,,83.99,,,,,,,,18.0,,,,,,,2021,100.31243975865726,53.3,83.99,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,France,SQL Injection,945154,,,,,16.51,,,,,,,,63.0,,,,,,,2019,100.31243975865726,51.230000000000004,16.51,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Germany,Malware,918454,,,,,62.43,,,,,,,,15.0,,,,,,,2023,100.31243975865726,3.54,62.43,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Australia,Phishing,450205,,,,,56.1,,,,,,,,32.0,,,,,,,2017,100.31243975865726,3.54,56.1,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Japan,Malware,476001,,,,,87.52,,,,,,,,58.0,,,,,,,2016,100.31243975865726,51.230000000000004,87.52,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Russia,Phishing,503520,,,,,65.88,,,,,,,,48.0,,,,,,,2018,100.31243975865726,53.3,65.88,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,USA,SQL Injection,457411,,,,,86.29,,,,,,,,34.0,,,,,,,2024,100.31243975865726,3.54,86.29,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,China,Malware,580609,,,,,62.82,,,,,,,,29.0,,,,,,,2018,100.31243975865726,3.8,62.82,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,UK,Phishing,848022,,,,,18.45,,,,,,,,10.0,,,,,,,2022,100.31243975865726,50.75,18.45,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Brazil,Phishing,761590,,,,,75.42,,,,,,,,45.0,,,,,,,2022,100.31243975865726,3.8,75.42,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Brazil,DDoS,366968,,,,,17.68,,,,,,,,47.0,,,,,,,2022,100.31243975865726,3.8,17.68,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Brazil,Man-in-the-Middle,625370,,,,,27.95,,,,,,,,24.0,,,,,,,2021,100.31243975865726,3.8,27.95,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,UK,Ransomware,193378,,,,,60.01,,,,,,,,32.0,,,,,,,2018,100.31243975865726,7.42,60.01,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Brazil,DDoS,375691,,,,,92.34,,,,,,,,21.0,,,,,,,2024,100.31243975865726,7.42,92.34,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Australia,SQL Injection,526324,,,,,7.21,,,,,,,,39.0,,,,,,,2017,100.31243975865726,50.75,7.21,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,Malware,50468,,,,,76.42,,,,,,,,64.0,,,,,,,2020,100.31243975865726,7.42,76.42,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,India,Phishing,922656,,,,,3.2,,,,,,,,17.0,,,,,,,2020,100.31243975865726,53.3,3.2,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,India,Ransomware,498457,,,,,62.59,,,,,,,,12.0,,,,,,,2018,100.31243975865726,3.54,62.59,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Brazil,SQL Injection,351850,,,,,89.04,,,,,,,,21.0,,,,,,,2023,100.31243975865726,3.8,89.04,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,USA,DDoS,391982,,,,,76.95,,,,,,,,46.0,,,,,,,2015,100.31243975865726,3.54,76.95,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Malware,247243,,,,,51.66,,,,,,,,69.0,,,,,,,2021,100.31243975865726,51.230000000000004,51.66,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Japan,Phishing,257190,,,,,39.33,,,,,,,,14.0,,,,,,,2020,100.31243975865726,50.75,39.33,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Australia,SQL Injection,804658,,,,,89.77,,,,,,,,23.0,,,,,,,2015,100.31243975865726,3.54,89.77,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Russia,Man-in-the-Middle,758032,,,,,75.95,,,,,,,,30.0,,,,,,,2024,100.31243975865726,3.8,75.95,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,France,DDoS,381948,,,,,13.31,,,,,,,,46.0,,,,,,,2017,100.31243975865726,51.230000000000004,13.31,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Australia,DDoS,152435,,,,,40.0,,,,,,,,26.0,,,,,,,2018,100.31243975865726,3.54,40.0,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Brazil,Ransomware,429566,,,,,99.9,,,,,,,,54.0,,,,,,,2020,100.31243975865726,50.75,99.9,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Germany,Ransomware,496292,,,,,61.99,,,,,,,,21.0,,,,,,,2022,100.31243975865726,7.42,61.99,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Germany,Man-in-the-Middle,943724,,,,,75.8,,,,,,,,58.0,,,,,,,2023,100.31243975865726,7.42,75.8,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,Japan,Man-in-the-Middle,243600,,,,,39.87,,,,,,,,40.0,,,,,,,2022,100.31243975865726,54.44,39.87,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,USA,Phishing,480386,,,,,48.96,,,,,,,,18.0,,,,,,,2017,100.31243975865726,53.3,48.96,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,India,Ransomware,564046,,,,,70.67,,,,,,,,39.0,,,,,,,2020,100.31243975865726,7.42,70.67,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Japan,Malware,50007,,,,,26.7,,,,,,,,19.0,,,,,,,2022,100.31243975865726,3.54,26.7,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Australia,Malware,307143,,,,,99.72,,,,,,,,1.0,,,,,,,2023,100.31243975865726,3.54,99.72,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Russia,DDoS,356964,,,,,22.71,,,,,,,,27.0,,,,,,,2023,100.31243975865726,53.3,22.71,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,USA,SQL Injection,891369,,,,,94.83,,,,,,,,71.0,,,,,,,2024,100.31243975865726,3.54,94.83,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Japan,DDoS,482700,,,,,37.81,,,,,,,,55.0,,,,,,,2020,100.31243975865726,3.54,37.81,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,China,Phishing,596628,,,,,42.93,,,,,,,,60.0,,,,,,,2018,100.31243975865726,7.42,42.93,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Russia,Ransomware,776295,,,,,89.33,,,,,,,,40.0,,,,,,,2022,100.31243975865726,51.230000000000004,89.33,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,USA,Phishing,447486,,,,,38.58,,,,,,,,7.0,,,,,,,2016,100.31243975865726,50.75,38.58,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,USA,Man-in-the-Middle,298887,,,,,75.51,,,,,,,,44.0,,,,,,,2022,100.31243975865726,3.54,75.51,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,India,Ransomware,59582,,,,,56.3,,,,,,,,56.0,,,,,,,2015,100.31243975865726,54.44,56.3,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Brazil,Ransomware,553944,,,,,6.67,,,,,,,,64.0,,,,,,,2024,100.31243975865726,7.42,6.67,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Russia,Ransomware,507258,,,,,80.29,,,,,,,,30.0,,,,,,,2024,100.31243975865726,50.75,80.29,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Russia,DDoS,82500,,,,,94.6,,,,,,,,28.0,,,,,,,2024,100.31243975865726,54.44,94.6,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Germany,SQL Injection,383781,,,,,27.54,,,,,,,,57.0,,,,,,,2021,100.31243975865726,3.54,27.54,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Australia,Ransomware,647303,,,,,97.48,,,,,,,,37.0,,,,,,,2020,100.31243975865726,50.75,97.48,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,USA,Phishing,877998,,,,,68.23,,,,,,,,23.0,,,,,,,2016,100.31243975865726,53.3,68.23,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,India,SQL Injection,631420,,,,,56.84,,,,,,,,68.0,,,,,,,2015,100.31243975865726,54.44,56.84,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,France,Ransomware,263566,,,,,84.79,,,,,,,,64.0,,,,,,,2023,100.31243975865726,51.230000000000004,84.79,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,UK,Ransomware,65148,,,,,4.22,,,,,,,,15.0,,,,,,,2021,100.31243975865726,50.75,4.22,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Russia,Ransomware,345623,,,,,58.73,,,,,,,,67.0,,,,,,,2020,100.31243975865726,51.230000000000004,58.73,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,China,Ransomware,962452,,,,,60.43,,,,,,,,34.0,,,,,,,2015,100.31243975865726,53.3,60.43,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Germany,Phishing,951767,,,,,2.85,,,,,,,,10.0,,,,,,,2024,100.31243975865726,53.3,2.85,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,UK,SQL Injection,712306,,,,,43.55,,,,,,,,29.0,,,,,,,2016,100.31243975865726,3.8,43.55,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,UK,Ransomware,365116,,,,,11.83,,,,,,,,66.0,,,,,,,2016,100.31243975865726,51.230000000000004,11.83,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,USA,Man-in-the-Middle,485702,,,,,64.96,,,,,,,,51.0,,,,,,,2021,100.31243975865726,50.75,64.96,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,USA,SQL Injection,49480,,,,,19.37,,,,,,,,17.0,,,,,,,2023,100.31243975865726,53.3,19.37,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Australia,Phishing,971148,,,,,46.64,,,,,,,,44.0,,,,,,,2019,100.31243975865726,3.8,46.64,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,USA,DDoS,513005,,,,,31.54,,,,,,,,62.0,,,,,,,2018,100.31243975865726,50.75,31.54,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Germany,Malware,360381,,,,,6.47,,,,,,,,62.0,,,,,,,2019,100.31243975865726,3.54,6.47,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Brazil,DDoS,649383,,,,,96.23,,,,,,,,59.0,,,,,,,2021,100.31243975865726,50.75,96.23,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Germany,SQL Injection,155736,,,,,89.74,,,,,,,,63.0,,,,,,,2022,100.31243975865726,50.75,89.74,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,USA,Malware,443715,,,,,54.29,,,,,,,,54.0,,,,,,,2023,100.31243975865726,7.42,54.29,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Australia,DDoS,683733,,,,,4.81,,,,,,,,65.0,,,,,,,2022,100.31243975865726,51.230000000000004,4.81,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Brazil,DDoS,400214,,,,,42.16,,,,,,,,58.0,,,,,,,2019,100.31243975865726,7.42,42.16,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Brazil,Ransomware,813472,,,,,74.06,,,,,,,,17.0,,,,,,,2024,100.31243975865726,53.3,74.06,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,France,Ransomware,199832,,,,,27.1,,,,,,,,54.0,,,,,,,2021,100.31243975865726,50.75,27.1,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,Malware,210495,,,,,22.04,,,,,,,,18.0,,,,,,,2017,100.31243975865726,53.3,22.04,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,China,Man-in-the-Middle,923445,,,,,49.53,,,,,,,,42.0,,,,,,,2023,100.31243975865726,3.8,49.53,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Japan,Man-in-the-Middle,407485,,,,,1.72,,,,,,,,22.0,,,,,,,2019,100.31243975865726,3.8,1.72,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,Russia,Man-in-the-Middle,517452,,,,,97.39,,,,,,,,9.0,,,,,,,2020,100.31243975865726,54.44,97.39,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Germany,Ransomware,509742,,,,,68.73,,,,,,,,43.0,,,,,,,2017,100.31243975865726,3.54,68.73,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,USA,Malware,412236,,,,,57.85,,,,,,,,36.0,,,,,,,2019,100.31243975865726,7.42,57.85,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Germany,Malware,592988,,,,,6.58,,,,,,,,43.0,,,,,,,2017,100.31243975865726,7.42,6.58,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,USA,Ransomware,451510,,,,,47.25,,,,,,,,45.0,,,,,,,2019,100.31243975865726,50.75,47.25,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,India,Ransomware,144065,,,,,20.26,,,,,,,,62.0,,,,,,,2021,100.31243975865726,3.8,20.26,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,India,DDoS,700440,,,,,85.02,,,,,,,,23.0,,,,,,,2024,100.31243975865726,51.230000000000004,85.02,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
